city,date,year,month,season,max_temp,min_temp,mean_temp,temperature_category,temp_range,rainfall_mm,is_rainy,daily_duration
Shimla,18-05-2024,2024,5,Spring,27.6,13.9,21.7,Warm,13.7,0,FALSE,49701.82
Shimla,19-05-2024,2024,5,Spring,27.7,14.2,22.7,Warm,13.5,0,FALSE,49774.46
Shimla,20-05-2024,2024,5,Spring,26.3,14.1,20.6,Warm,12.2,0.9,FALSE,49845.58
Shimla,21-05-2024,2024,5,Spring,26.6,13.2,20.6,Warm,13.4,0,FALSE,49915.07
Shimla,22-05-2024,2024,5,Spring,25.8,14,20.8,Warm,11.8,0.2,FALSE,49982.88
Shimla,23-05-2024,2024,5,Spring,24.9,14.2,19.4,Cool,10.7,2.2,TRUE,50048.89
Shimla,24-05-2024,2024,5,Spring,24.9,13.8,19.9,Cool,11.1,2.5,TRUE,50113.04
Shimla,25-05-2024,2024,5,Spring,27.3,13.8,21.9,Warm,13.5,0.1,FALSE,50175.25
Shimla,26-05-2024,2024,5,Spring,28.7,13.5,23,Warm,15.2,0,FALSE,50235.43
Shimla,27-05-2024,2024,5,Spring,28.6,14.1,23,Warm,14.5,0,FALSE,50293.5
Shimla,28-05-2024,2024,5,Spring,28.5,14.8,22.2,Warm,13.7,0,FALSE,50349.36
Shimla,29-05-2024,2024,5,Spring,30.1,14.2,23.3,Warm,15.9,0,FALSE,50402.95
Shimla,30-05-2024,2024,5,Spring,29.8,14.4,22.5,Warm,15.4,0,FALSE,50454.16
Shimla,31-05-2024,2024,5,Spring,28.1,14.7,21.8,Warm,13.4,0,FALSE,50502.91
Shimla,01-06-2024,2024,6,Summer,28.9,13.9,21.7,Warm,15,0,FALSE,50549.21
Shimla,02-06-2024,2024,6,Summer,25.8,13.7,20.8,Warm,12.1,0.1,FALSE,50593.43
Shimla,03-06-2024,2024,6,Summer,27,14.2,21.8,Warm,12.8,0.1,FALSE,50635.63
Shimla,04-06-2024,2024,6,Summer,26.2,14.8,20.8,Warm,11.4,0.1,FALSE,50675.75
Shimla,05-06-2024,2024,6,Summer,26.8,13.4,19.6,Cool,13.4,0.9,FALSE,50713.78
Shimla,06-06-2024,2024,6,Summer,24.2,13.2,18.9,Cool,11,0,FALSE,50749.66
Shimla,07-06-2024,2024,6,Summer,26.2,13.2,20.3,Warm,13,0,FALSE,50783.36
Shimla,08-06-2024,2024,6,Summer,25.2,13.5,19.7,Cool,11.7,0,FALSE,50814.86
Shimla,09-06-2024,2024,6,Summer,26,13.3,21,Warm,12.7,0,FALSE,50844.1
Shimla,10-06-2024,2024,6,Summer,26.8,13.6,21.6,Warm,13.2,0,FALSE,50871.05
Shimla,11-06-2024,2024,6,Summer,27.4,14.5,22,Warm,12.9,0,FALSE,50895.7
Shimla,12-06-2024,2024,6,Summer,28.4,15,23.1,Warm,13.4,0,FALSE,50917.98
Shimla,13-06-2024,2024,6,Summer,28.8,15.5,23.6,Warm,13.3,0,FALSE,50937.89
Shimla,14-06-2024,2024,6,Summer,28.5,16.1,23.5,Warm,12.4,0,FALSE,50955.37
Shimla,15-06-2024,2024,6,Summer,27.9,16.4,23.4,Warm,11.5,0,FALSE,50970.41
Shimla,16-06-2024,2024,6,Summer,28.6,18.7,24.4,Warm,9.9,0,FALSE,50982.98
Shimla,17-06-2024,2024,6,Summer,28.9,20.1,25,Warm,8.8,0,FALSE,50993.03
Shimla,18-06-2024,2024,6,Summer,28.7,19.1,24.1,Warm,9.6,0.1,FALSE,51000.54
Shimla,19-06-2024,2024,6,Summer,27.7,16.2,22.2,Warm,11.5,0.4,FALSE,51005.5
Shimla,20-06-2024,2024,6,Summer,26.1,16.2,19.8,Cool,9.9,1.4,TRUE,51007.86
Shimla,21-06-2024,2024,6,Summer,23.9,14.2,18.6,Cool,9.7,5.9,TRUE,51007.6
Shimla,22-06-2024,2024,6,Summer,24.3,14.3,20.3,Warm,10,2.4,TRUE,51004.7
Shimla,23-06-2024,2024,6,Summer,25,16.9,20.3,Warm,8.1,8.7,TRUE,50999.17
Shimla,24-06-2024,2024,6,Summer,23.1,16.5,19.5,Cool,6.6,8.2,TRUE,50991.07
Shimla,25-06-2024,2024,6,Summer,24.9,17.1,20.3,Warm,7.8,4.5,TRUE,50980.4
Shimla,26-06-2024,2024,6,Summer,24.3,15.7,19.9,Cool,8.6,24.6,TRUE,50967.22
Shimla,27-06-2024,2024,6,Summer,22.6,15.5,18.7,Cool,7.1,14.3,TRUE,50951.55
Shimla,28-06-2024,2024,6,Summer,22.4,15.6,18.7,Cool,6.8,10.4,TRUE,50933.44
Shimla,29-06-2024,2024,6,Summer,22.9,16.2,18.7,Cool,6.7,10.2,TRUE,50912.92
Shimla,30-06-2024,2024,6,Summer,22.9,15.4,18.9,Cool,7.5,1.7,TRUE,50890.02
Shimla,01-07-2024,2024,7,Summer,22.9,14.9,18.9,Cool,8,2.4,TRUE,50864.79
Shimla,02-07-2024,2024,7,Summer,23.2,15.4,18.7,Cool,7.8,12.4,TRUE,50837.27
Shimla,03-07-2024,2024,7,Summer,22.8,16.3,18.9,Cool,6.5,4.7,TRUE,50807.49
Shimla,04-07-2024,2024,7,Summer,22,16,18.4,Cool,6,9,TRUE,50775.5
Shimla,05-07-2024,2024,7,Summer,21.5,15.3,17.8,Cool,6.2,4.7,TRUE,50741.34
Shimla,06-07-2024,2024,7,Summer,22.7,14.3,17.8,Cool,8.4,3.2,TRUE,50705.04
Shimla,07-07-2024,2024,7,Summer,23.1,14.7,17.8,Cool,8.4,1.7,TRUE,50666.65
Shimla,08-07-2024,2024,7,Summer,21.8,14.5,17.9,Cool,7.3,6.8,TRUE,50626.21
Shimla,09-07-2024,2024,7,Summer,22,14.3,18.4,Cool,7.7,2.2,TRUE,50583.78
Shimla,10-07-2024,2024,7,Summer,22.8,14.4,18.5,Cool,8.4,2.3,TRUE,50539.37
Shimla,11-07-2024,2024,7,Summer,22.6,14.4,18.5,Cool,8.2,1.1,TRUE,50492.96
Shimla,12-07-2024,2024,7,Summer,23.4,14,18.6,Cool,9.4,0.6,FALSE,50444.13
Shimla,13-07-2024,2024,7,Summer,21.6,13.4,17.8,Cool,8.2,0.2,FALSE,50392.86
Shimla,14-07-2024,2024,7,Summer,22.5,13.4,18.4,Cool,9.1,1.9,TRUE,50339.24
Shimla,15-07-2024,2024,7,Summer,22.8,14.5,18.9,Cool,8.3,6,TRUE,50283.38
Shimla,16-07-2024,2024,7,Summer,22.2,15.5,19,Cool,6.7,6.6,TRUE,50225.35
Shimla,17-07-2024,2024,7,Summer,22,16.8,19.1,Cool,5.2,3.7,TRUE,50165.24
Shimla,18-07-2024,2024,7,Summer,22.2,15.8,19.2,Cool,6.4,2.8,TRUE,50103.13
Shimla,19-07-2024,2024,7,Summer,23.3,15.1,19.3,Cool,8.2,2.7,TRUE,50039.12
Shimla,20-07-2024,2024,7,Summer,23.5,15.3,19.5,Cool,8.2,2.1,TRUE,49973.28
Shimla,21-07-2024,2024,7,Summer,22.6,16.4,19.1,Cool,6.2,16.2,TRUE,49905.7
Shimla,22-07-2024,2024,7,Summer,22.1,16.9,19.1,Cool,5.2,5.9,TRUE,49836.47
Shimla,23-07-2024,2024,7,Summer,23.5,15.5,18.8,Cool,8,2.9,TRUE,49765.67
Shimla,24-07-2024,2024,7,Summer,22.6,15.5,19.2,Cool,7.1,4.2,TRUE,49693.38
Shimla,25-07-2024,2024,7,Summer,22.9,16.4,19,Cool,6.5,4.1,TRUE,49619.67
Shimla,26-07-2024,2024,7,Summer,22.5,16,19.1,Cool,6.5,2.9,TRUE,49544.63
Shimla,27-07-2024,2024,7,Summer,22.6,16.2,19.5,Cool,6.4,21.8,TRUE,49468.34
Shimla,28-07-2024,2024,7,Summer,24.5,18.1,20.4,Warm,6.4,3.9,TRUE,49390.88
Shimla,29-07-2024,2024,7,Summer,23.7,17.9,20.1,Warm,5.8,5,TRUE,49312.32
Shimla,30-07-2024,2024,7,Summer,23,17.4,19.8,Cool,5.6,9.8,TRUE,49232.73
Shimla,31-07-2024,2024,7,Summer,23.8,16.9,19.6,Cool,6.9,42.2,TRUE,49152.08
Shimla,01-08-2024,2024,8,Summer,21.7,15.3,18.3,Cool,6.4,9.1,TRUE,49069.69
Shimla,02-08-2024,2024,8,Summer,21.5,15.2,18.3,Cool,6.3,52.2,TRUE,48985.55
Shimla,03-08-2024,2024,8,Summer,21.1,16.4,18.8,Cool,4.7,2.9,TRUE,48899.75
Shimla,04-08-2024,2024,8,Summer,21,16.3,18.4,Cool,4.7,9.3,TRUE,48812.4
Shimla,05-08-2024,2024,8,Summer,21.2,16,18,Cool,5.2,14.8,TRUE,48723.58
Shimla,06-08-2024,2024,8,Summer,21,16.4,18.3,Cool,4.6,6.8,TRUE,48633.4
Shimla,07-08-2024,2024,8,Summer,21.3,16.1,17.5,Cool,5.2,23.4,TRUE,48541.94
Shimla,08-08-2024,2024,8,Summer,20.7,15.8,17.7,Cool,4.9,12.2,TRUE,48449.3
Shimla,09-08-2024,2024,8,Summer,21.5,14.2,17.4,Cool,7.3,3.4,TRUE,48355.57
Shimla,10-08-2024,2024,8,Summer,21,14.3,17.3,Cool,6.7,6.9,TRUE,48260.82
Shimla,11-08-2024,2024,8,Summer,20.6,14.4,17.2,Cool,6.2,6.9,TRUE,48165.17
Shimla,12-08-2024,2024,8,Summer,21.5,14,17.1,Cool,7.5,2.8,TRUE,48068.68
Shimla,13-08-2024,2024,8,Summer,21.3,14.8,17.8,Cool,6.5,13.8,TRUE,47971.45
Shimla,14-08-2024,2024,8,Summer,21.1,15.6,17.9,Cool,5.5,9.3,TRUE,47873.54
Shimla,15-08-2024,2024,8,Summer,21.3,15.5,18.1,Cool,5.8,15.4,TRUE,47775.05
Shimla,16-08-2024,2024,8,Summer,22.2,15,18.3,Cool,7.2,5.7,TRUE,47676.06
Shimla,17-08-2024,2024,8,Summer,22.6,14.8,18,Cool,7.8,12.6,TRUE,47576.63
Shimla,18-08-2024,2024,8,Summer,22.1,15.1,18,Cool,7,1.8,TRUE,47476.86
Shimla,19-08-2024,2024,8,Summer,21.2,14.1,17.7,Cool,7.1,0.6,FALSE,47376.81
Shimla,20-08-2024,2024,8,Summer,20.9,13.9,17,Cool,7,5,TRUE,47276.43
Shimla,21-08-2024,2024,8,Summer,21.5,12.8,17.1,Cool,8.7,1.4,TRUE,47174.98
Shimla,22-08-2024,2024,8,Summer,21.6,12.5,17,Cool,9.1,0.5,FALSE,47072.43
Shimla,23-08-2024,2024,8,Summer,21.3,12.6,17.4,Cool,8.7,2.9,TRUE,46968.86
Shimla,24-08-2024,2024,8,Summer,21,13.7,17.6,Cool,7.3,9.7,TRUE,46864.36
Shimla,25-08-2024,2024,8,Summer,21.2,15.4,18.3,Cool,5.8,2.2,TRUE,46759
Shimla,26-08-2024,2024,8,Summer,21.7,14.8,17.7,Cool,6.9,7.6,TRUE,46652.87
Shimla,27-08-2024,2024,8,Summer,20.6,14.2,17,Cool,6.4,9.2,TRUE,46546.04
Shimla,28-08-2024,2024,8,Summer,21.1,14.3,17.4,Cool,6.8,6.5,TRUE,46438.61
Shimla,29-08-2024,2024,8,Summer,18.6,13.7,16.5,Cool,4.9,5,TRUE,46330.62
Shimla,30-08-2024,2024,8,Summer,21.3,13.7,17,Cool,7.6,11.2,TRUE,46222.19
Shimla,31-08-2024,2024,8,Summer,23.3,14.1,18.6,Cool,9.2,0.8,FALSE,46113.36
Shimla,01-09-2024,2024,9,Autumn,22.4,14,17.6,Cool,8.4,7.4,TRUE,46004.22
Shimla,02-09-2024,2024,9,Autumn,20.1,13.7,16.6,Cool,6.4,14.8,TRUE,45894.85
Shimla,03-09-2024,2024,9,Autumn,20.6,13.5,17.2,Cool,7.1,32.3,TRUE,45785.3
Shimla,04-09-2024,2024,9,Autumn,19.4,13,15.9,Cool,6.4,10.5,TRUE,45675.65
Shimla,05-09-2024,2024,9,Autumn,19.8,13.1,16.2,Cool,6.7,10,TRUE,45565.98
Shimla,06-09-2024,2024,9,Autumn,19.2,13.7,16.3,Cool,5.5,12.2,TRUE,45456.34
Shimla,07-09-2024,2024,9,Autumn,20.3,13.7,16.5,Cool,6.6,20.2,TRUE,45346.82
Shimla,08-09-2024,2024,9,Autumn,21.6,14.3,17.4,Cool,7.3,8.5,TRUE,45237.48
Shimla,09-09-2024,2024,9,Autumn,21.7,14.3,17.5,Cool,7.4,9.5,TRUE,45128.24
Shimla,10-09-2024,2024,9,Autumn,20.5,13.7,16.6,Cool,6.8,8.9,TRUE,45018.39
Shimla,11-09-2024,2024,9,Autumn,22,14.1,17.1,Cool,7.9,8.1,TRUE,44907.84
Shimla,12-09-2024,2024,9,Autumn,20.9,14.3,16.5,Cool,6.6,14,TRUE,44796.69
Shimla,13-09-2024,2024,9,Autumn,19.3,12,15.2,Cool,7.3,4,TRUE,44685
Shimla,14-09-2024,2024,9,Autumn,20.5,11.6,15.7,Cool,8.9,3.3,TRUE,44572.85
Shimla,15-09-2024,2024,9,Autumn,18.7,11,14.9,Cool,7.7,2.7,TRUE,44460.31
Shimla,16-09-2024,2024,9,Autumn,20.7,10.8,15.4,Cool,9.9,0.4,FALSE,44347.44
Shimla,17-09-2024,2024,9,Autumn,20.8,11,15.9,Cool,9.8,4.7,TRUE,44234.32
Shimla,18-09-2024,2024,9,Autumn,19.3,12.8,16.5,Cool,6.5,0.7,FALSE,44121.02
Shimla,19-09-2024,2024,9,Autumn,21.4,13.7,16.6,Cool,7.7,3.8,TRUE,44007.61
Shimla,20-09-2024,2024,9,Autumn,22.2,12.3,17.1,Cool,9.9,0,FALSE,43894.15
Shimla,21-09-2024,2024,9,Autumn,22,12.3,16.9,Cool,9.7,0.5,FALSE,43780.73
Shimla,22-09-2024,2024,9,Autumn,23,12.7,17.3,Cool,10.3,0.2,FALSE,43667.39
Shimla,23-09-2024,2024,9,Autumn,23.7,13.1,17.8,Cool,10.6,3.3,TRUE,43554.22
Shimla,24-09-2024,2024,9,Autumn,23.3,12.9,17.7,Cool,10.4,2,TRUE,43441.29
Shimla,25-09-2024,2024,9,Autumn,21,12.7,16.9,Cool,8.3,3.2,TRUE,43328.64
Shimla,26-09-2024,2024,9,Autumn,19.8,13.2,16.1,Cool,6.6,2.5,TRUE,43216.38
Shimla,27-09-2024,2024,9,Autumn,19.4,11.5,15.8,Cool,7.9,1.5,TRUE,43104.55
Shimla,28-09-2024,2024,9,Autumn,20.4,10.7,15,Cool,9.7,0.1,FALSE,42993.23
Shimla,29-09-2024,2024,9,Autumn,20.5,9.9,14.8,Cool,10.6,0,FALSE,42882.34
Shimla,30-09-2024,2024,9,Autumn,20.6,9.9,15,Cool,10.7,0,FALSE,42771.12
Shimla,01-10-2024,2024,10,Autumn,20.7,10.3,15.2,Cool,10.4,0,FALSE,42659.48
Shimla,02-10-2024,2024,10,Autumn,21.1,9.5,15.1,Cool,11.6,0,FALSE,42547.52
Shimla,03-10-2024,2024,10,Autumn,21.2,9.4,15.5,Cool,11.8,0,FALSE,42435.3
Shimla,04-10-2024,2024,10,Autumn,20.3,9.3,14.8,Cool,11,0.1,FALSE,42322.9
Shimla,05-10-2024,2024,10,Autumn,19.7,9,14.2,Cool,10.7,0.1,FALSE,42210.4
Shimla,06-10-2024,2024,10,Autumn,19.8,9,14,Cool,10.8,0,FALSE,42097.88
Shimla,07-10-2024,2024,10,Autumn,19.8,8,14,Cool,11.8,1,FALSE,41985.42
Shimla,08-10-2024,2024,10,Autumn,18.8,7.9,12.8,Cool,10.9,2.5,TRUE,41873.09
Shimla,09-10-2024,2024,10,Autumn,19.5,8.2,13.1,Cool,11.3,0,FALSE,41760.96
Shimla,10-10-2024,2024,10,Autumn,19.2,7.6,13.1,Cool,11.6,0.6,FALSE,41649.14
Shimla,11-10-2024,2024,10,Autumn,19,6.9,12.6,Cool,12.1,0,FALSE,41537.69
Shimla,12-10-2024,2024,10,Autumn,19.1,7.2,13.1,Cool,11.9,0,FALSE,41426.69
Shimla,13-10-2024,2024,10,Autumn,18.8,8.1,13,Cool,10.7,0,FALSE,41316.23
Shimla,14-10-2024,2024,10,Autumn,18.1,8.1,12.8,Cool,10,0.7,FALSE,41206.39
Shimla,15-10-2024,2024,10,Autumn,18.5,7.2,13.2,Cool,11.3,0,FALSE,41097.25
Shimla,16-10-2024,2024,10,Autumn,18.6,6.9,12.7,Cool,11.7,0,FALSE,40988.91
Shimla,17-10-2024,2024,10,Autumn,18.6,7.4,13.2,Cool,11.2,0,FALSE,40881.45
Shimla,18-10-2024,2024,10,Autumn,18.1,7.2,12.9,Cool,10.9,0,FALSE,40774.94
Shimla,19-10-2024,2024,10,Autumn,18.1,6.9,12.9,Cool,11.2,0,FALSE,40669.34
Shimla,20-10-2024,2024,10,Autumn,18.9,7,12.5,Cool,11.9,0,FALSE,40563.77
Shimla,21-10-2024,2024,10,Autumn,17.3,6.8,11.8,Cool,10.5,0.2,FALSE,40458.16
Shimla,22-10-2024,2024,10,Autumn,17.9,6.7,11.7,Cool,11.2,0.1,FALSE,40352.61
Shimla,23-10-2024,2024,10,Autumn,18.9,7.7,12.9,Cool,11.2,0.4,FALSE,40247.2
Shimla,24-10-2024,2024,10,Autumn,20.5,7.3,13,Cool,13.2,0,FALSE,40142.04
Shimla,25-10-2024,2024,10,Autumn,19.3,7.4,14,Cool,11.9,0,FALSE,40037.2
Shimla,26-10-2024,2024,10,Autumn,18.7,7.7,13.2,Cool,11,0,FALSE,39932.8
Shimla,27-10-2024,2024,10,Autumn,18.7,6.7,12.6,Cool,12,0,FALSE,39828.92
Shimla,28-10-2024,2024,10,Autumn,19.4,6.9,12.4,Cool,12.5,0,FALSE,39725.66
Shimla,29-10-2024,2024,10,Autumn,19.8,7.4,12.9,Cool,12.4,0,FALSE,39623.14
Shimla,30-10-2024,2024,10,Autumn,19.5,8.2,14.6,Cool,11.3,0,FALSE,39521.43
Shimla,31-10-2024,2024,10,Autumn,18.7,9.3,13.8,Cool,9.4,0,FALSE,39420.66
Shimla,01-11-2024,2024,11,Autumn,18.2,6.9,12.5,Cool,11.3,0,FALSE,39320.92
Shimla,02-11-2024,2024,11,Autumn,18.2,5.9,11.4,Cool,12.3,0,FALSE,39222.33
Shimla,03-11-2024,2024,11,Autumn,18.5,6.2,11.7,Cool,12.3,0,FALSE,39124.98
Shimla,04-11-2024,2024,11,Autumn,18.3,6.3,11.7,Cool,12,0,FALSE,39029
Shimla,05-11-2024,2024,11,Autumn,17.2,5.8,10.9,Cool,11.4,0.3,FALSE,38934.49
Shimla,06-11-2024,2024,11,Autumn,17,6.6,11,Cool,10.4,0,FALSE,38841.57
Shimla,07-11-2024,2024,11,Autumn,17.5,5.4,10.9,Cool,12.1,0,FALSE,38750.36
Shimla,08-11-2024,2024,11,Autumn,17.2,5.5,10.8,Cool,11.7,0,FALSE,38660.8
Shimla,09-11-2024,2024,11,Autumn,16.3,5.7,10.6,Cool,10.6,0,FALSE,38572.02
Shimla,10-11-2024,2024,11,Autumn,16.7,5.5,10.5,Cool,11.2,0,FALSE,38483.94
Shimla,11-11-2024,2024,11,Autumn,16.6,5.2,10.5,Cool,11.4,0.7,FALSE,38396.66
Shimla,12-11-2024,2024,11,Autumn,16.2,4.7,9.7,Cold,11.5,0,FALSE,38310.29
Shimla,13-11-2024,2024,11,Autumn,17.2,5.3,9.7,Cold,11.9,0,FALSE,38224.91
Shimla,14-11-2024,2024,11,Autumn,17,4.6,9.3,Cold,12.4,0,FALSE,38140.64
Shimla,15-11-2024,2024,11,Autumn,16.4,4.4,8.9,Cold,12,0,FALSE,38057.59
Shimla,16-11-2024,2024,11,Autumn,14.2,2.9,7.8,Cold,11.3,0,FALSE,37975.85
Shimla,17-11-2024,2024,11,Autumn,15.2,2.8,7.8,Cold,12.4,0,FALSE,37895.54
Shimla,18-11-2024,2024,11,Autumn,15.4,3.2,8,Cold,12.2,0,FALSE,37816.77
Shimla,19-11-2024,2024,11,Autumn,14.9,2.8,7.4,Cold,12.1,0,FALSE,37739.64
Shimla,20-11-2024,2024,11,Autumn,14.8,2.8,7.2,Cold,12,0,FALSE,37664.28
Shimla,21-11-2024,2024,11,Autumn,15.1,2.8,7.5,Cold,12.3,0,FALSE,37590.78
Shimla,22-11-2024,2024,11,Autumn,13.6,3.2,7.2,Cold,10.4,0,FALSE,37519.27
Shimla,23-11-2024,2024,11,Autumn,13.5,3,7.4,Cold,10.5,0,FALSE,37449.87
Shimla,24-11-2024,2024,11,Autumn,13.6,2.2,7.3,Cold,11.4,0,FALSE,37382.7
Shimla,25-11-2024,2024,11,Autumn,13,1.6,6.3,Cold,11.4,0,FALSE,37317.86
Shimla,26-11-2024,2024,11,Autumn,12.5,1.3,6,Cold,11.2,0,FALSE,37255.48
Shimla,27-11-2024,2024,11,Autumn,12.4,1.1,5.5,Cold,11.3,0,FALSE,37195.68
Shimla,28-11-2024,2024,11,Autumn,13.1,1.4,5.9,Cold,11.7,0,FALSE,37138.46
Shimla,29-11-2024,2024,11,Autumn,13.5,1.6,6.1,Cold,11.9,0,FALSE,37083.14
Shimla,30-11-2024,2024,11,Autumn,14.2,2.1,7.3,Cold,12.1,0,FALSE,37029.67
Shimla,01-12-2024,2024,12,Winter,14.8,2,7.2,Cold,12.8,0,FALSE,36978.11
Shimla,02-12-2024,2024,12,Winter,14.6,1,6.9,Cold,13.6,0,FALSE,36928.53
Shimla,03-12-2024,2024,12,Winter,14.2,1.5,6.9,Cold,12.7,0,FALSE,36881
Shimla,04-12-2024,2024,12,Winter,14,0.9,6.1,Cold,13.1,0,FALSE,36835.57
Shimla,05-12-2024,2024,12,Winter,13.5,0.8,5.4,Cold,12.7,0,FALSE,36792.33
Shimla,06-12-2024,2024,12,Winter,13.1,-0.6,4.6,Cold,13.7,0,FALSE,36751.34
Shimla,07-12-2024,2024,12,Winter,10.4,-1,3.2,Cold,11.4,0,FALSE,36712.66
Shimla,08-12-2024,2024,12,Winter,8.8,-2.8,1.7,Cold,11.6,1.2,TRUE,36676.36
Shimla,09-12-2024,2024,12,Winter,5.9,-3.1,0.5,Cold,9,1.3,TRUE,36642.52
Shimla,10-12-2024,2024,12,Winter,9.5,-2.2,2.5,Cold,11.7,0,FALSE,36611.18
Shimla,11-12-2024,2024,12,Winter,13.5,-0.7,4.8,Cold,14.2,0,FALSE,36582.43
Shimla,12-12-2024,2024,12,Winter,10.7,-1.6,2.9,Cold,12.3,0,FALSE,36556.32
Shimla,13-12-2024,2024,12,Winter,12.4,-2,3.9,Cold,14.4,0,FALSE,36532.92
Shimla,14-12-2024,2024,12,Winter,15.7,0.3,6.8,Cold,15.4,0,FALSE,36512.3
Shimla,15-12-2024,2024,12,Winter,17.2,2.3,8.2,Cold,14.9,0,FALSE,36494.51
Shimla,16-12-2024,2024,12,Winter,16.5,2.2,7.4,Cold,14.3,0,FALSE,36479.62
Shimla,17-12-2024,2024,12,Winter,13.1,-2.5,4.2,Cold,15.6,0,FALSE,36467.7
Shimla,18-12-2024,2024,12,Winter,13.6,-3.3,5,Cold,16.9,0,FALSE,36458.76
Shimla,19-12-2024,2024,12,Winter,11.3,-0.9,3.6,Cold,12.2,0,FALSE,36452.69
Shimla,20-12-2024,2024,12,Winter,10.5,-2.5,2.9,Cold,13,0,FALSE,36449.42
Shimla,21-12-2024,2024,12,Winter,12.4,-2.2,3.8,Cold,14.6,0,FALSE,36448.95
Shimla,22-12-2024,2024,12,Winter,12.4,-1.7,3.9,Cold,14.1,0,FALSE,36451.25
Shimla,23-12-2024,2024,12,Winter,3.4,-0.7,1.3,Cold,4.1,4.6,TRUE,36456.29
Shimla,24-12-2024,2024,12,Winter,8.2,-3.7,0.7,Cold,11.9,2.8,TRUE,36464.05
Shimla,25-12-2024,2024,12,Winter,6.8,-4.9,0.5,Cold,11.7,0,FALSE,36474.5
Shimla,26-12-2024,2024,12,Winter,11.6,-3.8,2.7,Cold,15.4,0,FALSE,36487.61
Shimla,27-12-2024,2024,12,Winter,10.5,-0.7,2.9,Cold,11.2,15.8,TRUE,36503.35
Shimla,28-12-2024,2024,12,Winter,6.9,-2.5,2.2,Cold,9.4,16.3,TRUE,36521.7
Shimla,29-12-2024,2024,12,Winter,10.8,-3,3,Cold,13.8,0,FALSE,36542.61
Shimla,30-12-2024,2024,12,Winter,13.1,-2.2,4.1,Cold,15.3,0,FALSE,36566.07
Shimla,31-12-2024,2024,12,Winter,13.5,0.2,5,Cold,13.3,0,FALSE,36592.04
Shimla,01-01-2025,2025,1,Winter,14.6,1.4,6.9,Cold,13.2,0,FALSE,36620.48
Shimla,02-01-2025,2025,1,Winter,16,2.3,8.9,Cold,13.7,0,FALSE,36651.37
Shimla,03-01-2025,2025,1,Winter,18.1,4.2,9.3,Cold,13.9,0,FALSE,36684.66
Shimla,04-01-2025,2025,1,Winter,18.6,3.3,9.2,Cold,15.3,0,FALSE,36720.32
Shimla,05-01-2025,2025,1,Winter,15.4,-0.5,6.3,Cold,15.9,0,FALSE,36758.31
Shimla,06-01-2025,2025,1,Winter,4.5,-3.4,0.8,Cold,7.9,11.7,TRUE,36798.6
Shimla,07-01-2025,2025,1,Winter,10.9,-2.9,3.2,Cold,13.8,0,FALSE,36841.25
